ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,PE,total_E
1,1e-07,18.382832765579224,0,0,0.0,0.0,0.0,0.0,1.1667719554832816e-08,1.1667719554832816e-08
1,1e-07,20.52991533279419,0,0,0.0,0.0,0.0,0.0,1.1667719453237747e-08,1.1667719453237747e-08
1,1e-07,16.245540142059326,0,0,0.0,0.0,0.0,0.0,1.166771946686003e-08,1.166771946686003e-08
2,2e-07,74.97527050971985,0,0,0.0,0.0,0.0,0.0,1.1667705747030682e-08,1.1667705747030682e-08
3,3e-07,142.57250571250916,0,0,0.0,0.0,0.0,0.0,1.1667684599343598e-08,1.1667684599343598e-08
4,4e-07,224.02722334861755,0,0,0.0,0.0,0.0,0.0,1.1667655586272261e-08,1.1667655586272261e-08
5,5e-07,309.4830493927002,0,0,0.0,0.0,0.0,0.0,1.1667618356183804e-08,1.1667618356183804e-08
6,6e-07,401.4924783706665,0,0,0.0,0.0,0.0,0.0,1.1667572525558693e-08,1.1667572525558693e-08
7,7e-07,492.76001596450806,0,0,0.0,0.0,0.0,0.0,1.1667517711852285e-08,1.1667517711852285e-08
8,8e-07,591.4193201065063,0,0,0.0,0.0,0.0,0.0,1.1667453549321435e-08,1.1667453549321435e-08
9,9e-07,696.4082682132721,0,0,0.0,0.0,0.0,0.0,1.1667379725408505e-08,1.1667379725408505e-08
10,1e-06,808.206695318222,0,0,0.0,0.0,0.0,0.0,1.1667295846062703e-08,1.1667295846062703e-08
11,1.1e-06,919.4419603347778,0,0,0.0,0.0,0.0,0.0,1.1667204991711813e-08,1.1667204991711813e-08
12,1.2e-06,1044.0853266716003,0,0,0.0,0.0,0.0,0.0,1.1667121630327074e-08,1.1667121630327074e-08
13,1.2999999999999998e-06,1163.6414382457733,0,0,0.0,0.0,0.0,0.0,1.1667045946319225e-08,1.1667045946319225e-08
14,1.3999999999999997e-06,1290.876528263092,0,0,0.0,0.0,0.0,0.0,1.1666978173917163e-08,1.1666978173917163e-08
15,1.4999999999999996e-06,1420.2804737091064,0,0,0.0,0.0,0.0,0.0,1.1666918730775081e-08,1.1666918730775081e-08
16,1.5999999999999995e-06,1549.1394340991974,0,0,0.0,0.0,0.0,0.0,1.1666867845422855e-08,1.1666867845422855e-08
17,1.6999999999999994e-06,1679.7476563453674,0,0,0.0,0.0,0.0,0.0,1.1666825823477679e-08,1.1666825823477679e-08
18,1.7999999999999993e-06,1818.8375508785248,0,0,0.0,0.0,0.0,0.0,1.1666792930554063e-08,1.1666792930554063e-08
19,1.8999999999999992e-06,1996.139927148819,0,0,0.0,0.0,0.0,0.0,1.1666762929912173e-08,1.1666762929912173e-08
20,1.999999999999999e-06,2143.300445795059,0,0,0.0,0.0,0.0,0.0,1.166673062221448e-08,1.166673062221448e-08
21,2.099999999999999e-06,2307.838236093521,0,0,0.0,0.0,0.0,0.0,1.1666696212292482e-08,1.1666696212292482e-08
22,2.199999999999999e-06,2477.50346493721,0,0,0.0,0.0,0.0,0.0,1.1666659584863331e-08,1.1666659584863331e-08
23,2.2999999999999987e-06,2651.9751567840576,0,0,0.0,0.0,0.0,0.0,1.1666620525401583e-08,1.1666620525401583e-08
24,2.3999999999999986e-06,2828.7809784412384,0,0,0.0,0.0,0.0,0.0,1.1666579117931867e-08,1.1666579117931867e-08
25,2.4999999999999985e-06,2996.098530292511,0,0,0.0,0.0,0.0,0.0,1.166653539596603e-08,1.166653539596603e-08
26,2.5999999999999984e-06,3161.659815788269,0,0,0.0,0.0,0.0,0.0,1.1666489214616848e-08,1.1666489214616848e-08
27,2.6999999999999983e-06,3317.1593379974365,0,0,0.0,0.0,0.0,0.0,1.1666440454634967e-08,1.1666440454634967e-08
28,2.799999999999998e-06,3471.420310974121,0,0,0.0,0.0,0.0,0.0,1.1666389143810913e-08,1.1666389143810913e-08
29,2.899999999999998e-06,3629.9266934394836,0,0,0.0,0.0,0.0,0.0,1.1666335196726196e-08,1.1666335196726196e-08
30,2.999999999999998e-06,3787.737184524536,0,0,0.0,0.0,0.0,0.0,1.1666278620710809e-08,1.1666278620710809e-08
31,3.099999999999998e-06,3954.0775458812714,0,0,0.0,0.0,0.0,0.0,1.1666219466589545e-08,1.1666219466589545e-08
32,3.1999999999999977e-06,4116.236095428467,0,0,0.0,0.0,0.0,0.0,1.1666157372115997e-08,1.1666157372115997e-08
33,3.2999999999999976e-06,4292.464917898178,0,0,0.0,0.0,0.0,0.0,1.1666092457993993e-08,1.1666092457993993e-08
34,3.3999999999999975e-06,4467.744134187698,0,0,0.0,0.0,0.0,0.0,1.1666024759572606e-08,1.1666024759572606e-08
35,3.4999999999999974e-06,4638.511832475662,0,0,0.0,0.0,0.0,0.0,1.1665954295175443e-08,1.1665954295175443e-08
36,3.5999999999999973e-06,4806.367843866348,0,0,0.0,0.0,0.0,0.0,1.1665880929371195e-08,1.1665880929371195e-08
37,3.699999999999997e-06,4971.450350761414,0,0,0.0,0.0,0.0,0.0,1.1665804617429235e-08,1.1665804617429235e-08
38,3.799999999999997e-06,5144.486783027649,0,0,0.0,0.0,0.0,0.0,1.1665725314862591e-08,1.1665725314862591e-08
39,3.899999999999997e-06,5320.753915309906,0,0,0.0,0.0,0.0,0.0,1.1665643073563225e-08,1.1665643073563225e-08
40,3.999999999999997e-06,5498.905255794525,0,0,0.0,0.0,0.0,0.0,1.166555777442308e-08,1.166555777442308e-08
41,4.099999999999997e-06,7008.478006839752,0,0,0.0,0.0,0.0,0.0,1.1665469486624842e-08,1.1665469486624842e-08
42,4.199999999999997e-06,7211.960150718689,0,0,0.0,0.0,0.0,0.0,1.1665378151050517e-08,1.1665378151050517e-08
43,4.299999999999997e-06,7388.0540335178375,0,0,0.0,0.0,0.0,0.0,1.1665283612484922e-08,1.1665283612484922e-08
44,4.399999999999997e-06,7611.993387699127,0,0,0.0,0.0,0.0,0.0,1.1665186060308096e-08,1.1665186060308096e-08
45,4.499999999999997e-06,7854.676404237747,0,0,0.0,0.0,0.0,0.0,1.1665085401431472e-08,1.1665085401431472e-08
46,4.599999999999997e-06,8142.439074754715,0,0,0.0,0.0,0.0,0.0,1.1664981567449667e-08,1.1664981567449667e-08
47,4.6999999999999965e-06,8383.500606298447,0,0,0.0,0.0,0.0,0.0,1.1664874411259515e-08,1.1664874411259515e-08
48,4.799999999999996e-06,8589.199559211731,0,0,0.0,0.0,0.0,0.0,1.1664764247345026e-08,1.1664764247345026e-08
49,4.899999999999996e-06,8854.090543746948,0,0,0.0,0.0,0.0,0.0,1.166465128371741e-08,1.166465128371741e-08
50,4.999999999999996e-06,9175.17583322525,0,0,0.0,0.0,0.0,0.0,1.1664535424827748e-08,1.1664535424827748e-08
51,5.099999999999996e-06,9441.180460691452,0,0,0.0,0.0,0.0,0.0,1.166441694302907e-08,1.166441694302907e-08
52,5.199999999999996e-06,9717.25196146965,0,0,0.0,0.0,0.0,0.0,1.1664296014931559e-08,1.1664296014931559e-08
53,5.299999999999996e-06,10066.376064538956,0,0,0.0,0.0,0.0,0.0,1.1664175371274286e-08,1.1664175371274286e-08
54,5.399999999999996e-06,10361.230622291565,0,0,0.0,0.0,0.0,0.0,1.1664059384548021e-08,1.1664059384548021e-08
55,5.499999999999996e-06,10599.22553563118,0,0,0.0,0.0,0.0,0.0,1.166394635968361e-08,1.166394635968361e-08
56,5.5999999999999955e-06,10898.673112392426,0,0,0.0,0.0,0.0,0.0,1.1663835091345454e-08,1.1663835091345454e-08
57,5.699999999999995e-06,11165.86177778244,0,0,0.0,0.0,0.0,0.0,1.1663725355930392e-08,1.1663725355930392e-08
58,5.799999999999995e-06,11455.433178186417,0,0,0.0,0.0,0.0,0.0,1.1663617925134859e-08,1.1663617925134859e-08
59,5.899999999999995e-06,11787.108083248138,0,0,0.0,0.0,0.0,0.0,1.1663512432138441e-08,1.1663512432138441e-08
60,5.999999999999995e-06,12306.639785051346,0,0,0.0,0.0,0.0,0.0,1.1663410122776284e-08,1.1663410122776284e-08
61,6.099999999999995e-06,12695.280009031296,0,0,0.0,0.0,0.0,0.0,1.1663310037789157e-08,1.1663310037789157e-08
62,6.199999999999995e-06,13067.504283189774,0,0,0.0,0.0,0.0,0.0,1.1663212309369777e-08,1.1663212309369777e-08
63,6.299999999999995e-06,13367.171315908432,0,0,0.0,0.0,0.0,0.0,1.1663116153021558e-08,1.1663116153021558e-08
64,6.399999999999995e-06,13617.914275884628,0,0,0.0,0.0,0.0,0.0,1.1663021426214156e-08,1.1663021426214156e-08
65,6.4999999999999945e-06,13863.14111828804,0,0,0.0,0.0,0.0,0.0,1.16629275370901e-08,1.16629275370901e-08
66,6.599999999999994e-06,14251.85335946083,0,0,0.0,0.0,0.0,0.0,1.1662833431952261e-08,1.1662833431952261e-08
67,6.699999999999994e-06,14563.525739908218,0,0,0.0,0.0,0.0,0.0,1.1662741710739653e-08,1.1662741710739653e-08
68,6.799999999999994e-06,15010.121460437775,0,0,0.0,0.0,0.0,0.0,1.1662650646813679e-08,1.1662650646813679e-08
69,6.899999999999994e-06,15452.924996614456,0,0,0.0,0.0,0.0,0.0,1.1662562390281592e-08,1.1662562390281592e-08
70,6.999999999999994e-06,15948.566036224365,0,0,0.0,0.0,0.0,0.0,1.166247778667492e-08,1.166247778667492e-08
71,7.099999999999994e-06,16296.931538581848,0,0,0.0,0.0,0.0,0.0,1.1662393265305302e-08,1.1662393265305302e-08
72,7.199999999999994e-06,16639.560870409012,0,0,0.0,0.0,0.0,0.0,1.1662306435738006e-08,1.1662306435738006e-08
73,7.299999999999994e-06,17113.69206547737,0,0,0.0,0.0,0.0,0.0,1.1662222431500636e-08,1.1662222431500636e-08
74,7.3999999999999935e-06,17623.607173919678,0,0,0.0,0.0,0.0,0.0,1.1662138847803132e-08,1.1662138847803132e-08
75,7.499999999999993e-06,18043.55729818344,0,0,0.0,0.0,0.0,0.0,1.1662055312054758e-08,1.1662055312054758e-08
76,7.599999999999993e-06,18415.345435857773,0,0,0.0,0.0,0.0,0.0,1.1661972299772894e-08,1.1661972299772894e-08
77,7.699999999999994e-06,18889.069367408752,0,0,0.0,0.0,0.0,0.0,1.1661891386659683e-08,1.1661891386659683e-08
78,7.799999999999995e-06,19221.928503990173,0,0,0.0,0.0,0.0,0.0,1.1661810368381975e-08,1.1661810368381975e-08
79,7.899999999999996e-06,19546.413828134537,0,0,0.0,0.0,0.0,0.0,1.1661730790138729e-08,1.1661730790138729e-08
80,7.999999999999996e-06,19966.320872068405,0,0,0.0,0.0,0.0,0.0,1.1661652632010714e-08,1.1661652632010714e-08
81,8.099999999999997e-06,20610.464762687683,0,0,0.0,0.0,0.0,0.0,1.1661572689228831e-08,1.1661572689228831e-08
82,8.199999999999998e-06,21334.89922094345,0,0,0.0,0.0,0.0,0.0,1.1661494490399657e-08,1.1661494490399657e-08
83,8.299999999999998e-06,23481.18597126007,0,0,0.0,0.0,0.0,0.0,1.166141602529515e-08,1.166141602529515e-08
84,8.4e-06,23679.146357297897,0,0,0.0,0.0,0.0,0.0,1.1661336852815274e-08,1.1661336852815274e-08
85,8.5e-06,23884.840610027313,0,0,0.0,0.0,0.0,0.0,1.1661259812877966e-08,1.1661259812877966e-08
86,8.6e-06,24114.596998929977,0,0,0.0,0.0,0.0,0.0,1.1661181098839322e-08,1.1661181098839322e-08
87,8.700000000000001e-06,24412.504694461823,0,0,0.0,0.0,0.0,0.0,1.1661103010804313e-08,1.1661103010804313e-08
88,8.800000000000002e-06,24733.228785276413,0,0,0.0,0.0,0.0,0.0,1.1661024127400069e-08,1.1661024127400069e-08
89,8.900000000000003e-06,25007.90453362465,0,0,0.0,0.0,0.0,0.0,1.1660946724485845e-08,1.1660946724485845e-08
90,9.000000000000004e-06,25284.730709552765,0,0,0.0,0.0,0.0,0.0,1.1660870284517539e-08,1.1660870284517539e-08
91,9.100000000000004e-06,25550.94330430031,0,0,0.0,0.0,0.0,0.0,1.1660792360250919e-08,1.1660792360250919e-08
92,9.200000000000005e-06,25793.986943006516,0,0,0.0,0.0,0.0,0.0,1.1660716171683394e-08,1.1660716171683394e-08
93,9.300000000000006e-06,26027.424396276474,0,0,0.0,0.0,0.0,0.0,1.1660638272595825e-08,1.1660638272595825e-08
94,9.400000000000007e-06,26281.781224489212,0,0,0.0,0.0,0.0,0.0,1.1660561428313137e-08,1.1660561428313137e-08
95,9.500000000000007e-06,26514.105154037476,0,0,0.0,0.0,0.0,0.0,1.1660483686590486e-08,1.1660483686590486e-08
96,9.600000000000008e-06,26752.177187919617,0,0,0.0,0.0,0.0,0.0,1.1660407180430054e-08,1.1660407180430054e-08
97,9.700000000000009e-06,26990.95019173622,0,0,0.0,0.0,0.0,0.0,1.1660331031124452e-08,1.1660331031124452e-08
98,9.80000000000001e-06,27242.983555316925,0,0,0.0,0.0,0.0,0.0,1.1660253399548036e-08,1.1660253399548036e-08
99,9.90000000000001e-06,27479.89937853813,0,0,0.0,0.0,0.0,0.0,1.166017465103513e-08,1.166017465103513e-08
100,1.0000000000000011e-05,27717.174375534058,0,0,0.0,0.0,0.0,0.0,1.1660099584232229e-08,1.1660099584232229e-08
101,1.0100000000000012e-05,27966.02000451088,0,0,0.0,0.0,0.0,0.0,1.166002209567141e-08,1.166002209567141e-08
102,1.0200000000000012e-05,28203.339174985886,0,0,0.0,0.0,0.0,0.0,1.1659944676331837e-08,1.1659944676331837e-08
103,1.0300000000000013e-05,28440.914042949677,0,0,0.0,0.0,0.0,0.0,1.1659868539888144e-08,1.1659868539888144e-08
104,1.0400000000000014e-05,28688.39820432663,0,0,0.0,0.0,0.0,0.0,1.165979257499768e-08,1.165979257499768e-08
105,1.0500000000000015e-05,28929.2877304554,0,0,0.0,0.0,0.0,0.0,1.1659715775814984e-08,1.1659715775814984e-08
106,1.0600000000000015e-05,36758.09579396248,0,0,0.0,0.0,0.0,0.0,1.1659638515094116e-08,1.1659638515094116e-08
107,1.0700000000000016e-05,36980.28315258026,0,0,0.0,0.0,0.0,0.0,1.165956156637829e-08,1.165956156637829e-08
108,1.0800000000000017e-05,37253.53124165535,0,0,0.0,0.0,0.0,0.0,1.1659485548071976e-08,1.1659485548071976e-08
109,1.0900000000000018e-05,37582.57019853592,0,0,0.0,0.0,0.0,0.0,1.1659409445572121e-08,1.1659409445572121e-08
110,1.1000000000000018e-05,37856.984781980515,0,0,0.0,0.0,0.0,0.0,1.1659335455874694e-08,1.1659335455874694e-08
111,1.1100000000000019e-05,38353.18816065788,0,0,0.0,0.0,0.0,0.0,1.165926170660601e-08,1.165926170660601e-08
112,1.120000000000002e-05,38755.11115384102,0,0,0.0,0.0,0.0,0.0,1.1659186747812434e-08,1.1659186747812434e-08
113,1.130000000000002e-05,39148.608147382736,0,0,0.0,0.0,0.0,0.0,1.1659112896955274e-08,1.1659112896955274e-08
114,1.1400000000000021e-05,39466.30775666237,0,0,0.0,0.0,0.0,0.0,1.1659038635016146e-08,1.1659038635016146e-08
115,1.1500000000000022e-05,39767.23013877869,0,0,0.0,0.0,0.0,0.0,1.165896587921721e-08,1.165896587921721e-08
116,1.1600000000000023e-05,40073.91783308983,0,0,0.0,0.0,0.0,0.0,1.1658893102219547e-08,1.1658893102219547e-08
117,1.1700000000000024e-05,40374.01126360893,0,0,0.0,0.0,0.0,0.0,1.1658821944068877e-08,1.1658821944068877e-08
118,1.1800000000000024e-05,40748.86516261101,0,0,0.0,0.0,0.0,0.0,1.165875039000911e-08,1.165875039000911e-08
119,1.1900000000000025e-05,41131.64534306526,0,0,0.0,0.0,0.0,0.0,1.1658679942011459e-08,1.1658679942011459e-08
120,1.2000000000000026e-05,41580.412214279175,0,0,0.0,0.0,0.0,0.0,1.1658609247220927e-08,1.1658609247220927e-08
121,1.2100000000000026e-05,41985.255465745926,0,0,0.0,0.0,0.0,0.0,1.165853785700885e-08,1.165853785700885e-08
122,1.2200000000000027e-05,42290.01348924637,0,0,0.0,0.0,0.0,0.0,1.1658467648454863e-08,1.1658467648454863e-08
123,1.2300000000000028e-05,42593.3570394516,0,0,0.0,0.0,0.0,0.0,1.1658397485601777e-08,1.1658397485601777e-08
124,1.2400000000000029e-05,42896.919659137726,0,0,0.0,0.0,0.0,0.0,1.1658327808650378e-08,1.1658327808650378e-08
125,1.250000000000003e-05,43195.49543452263,0,0,0.0,0.0,0.0,0.0,1.1658258108451457e-08,1.1658258108451457e-08
126,1.260000000000003e-05,43568.04294657707,0,0,0.0,0.0,0.0,0.0,1.1658188003404819e-08,1.1658188003404819e-08
127,1.2700000000000031e-05,43930.20971727371,0,0,0.0,0.0,0.0,0.0,1.1658118448625015e-08,1.1658118448625015e-08
128,1.2800000000000032e-05,44295.78670954704,0,0,0.0,0.0,0.0,0.0,1.1658050121412285e-08,1.1658050121412285e-08
129,1.2900000000000032e-05,44663.934562683105,0,0,0.0,0.0,0.0,0.0,1.1657983188097869e-08,1.1657983188097869e-08
130,1.3000000000000033e-05,45102.20884823799,0,0,0.0,0.0,0.0,0.0,1.1657915007026779e-08,1.1657915007026779e-08
131,1.3100000000000034e-05,45557.35644984245,0,0,0.0,0.0,0.0,0.0,1.1657850056241751e-08,1.1657850056241751e-08
132,1.3200000000000035e-05,46006.310260772705,0,0,0.0,0.0,0.0,0.0,1.1657783607392528e-08,1.1657783607392528e-08
133,1.3300000000000035e-05,46357.93484926224,0,0,0.0,0.0,0.0,0.0,1.1657718436967796e-08,1.1657718436967796e-08
134,1.3400000000000036e-05,46680.03744864464,0,0,0.0,0.0,0.0,0.0,1.1657653114437712e-08,1.1657653114437712e-08
135,1.3500000000000037e-05,46989.41828584671,0,0,0.0,0.0,0.0,0.0,1.1657589836381092e-08,1.1657589836381092e-08
136,1.3600000000000038e-05,47302.00320196152,0,0,0.0,0.0,0.0,0.0,1.1657524894592657e-08,1.1657524894592657e-08
137,1.3700000000000038e-05,47615.5169570446,0,0,0.0,0.0,0.0,0.0,1.1657459561764217e-08,1.1657459561764217e-08
138,1.3800000000000039e-05,47928.63437318802,0,0,0.0,0.0,0.0,0.0,1.165739512396644e-08,1.165739512396644e-08
139,1.390000000000004e-05,48244.79256820679,0,0,0.0,0.0,0.0,0.0,1.165733421791133e-08,1.165733421791133e-08
140,1.400000000000004e-05,48522.02479362488,0,0,0.0,0.0,0.0,0.0,1.1657272153348182e-08,1.1657272153348182e-08
141,1.4100000000000041e-05,48786.31860923767,0,0,0.0,0.0,0.0,0.0,1.1657210001507258e-08,1.1657210001507258e-08
142,1.4200000000000042e-05,49041.07353591919,0,0,0.0,0.0,0.0,0.0,1.1657153935812962e-08,1.1657153935812962e-08
143,1.4300000000000043e-05,49285.95413041115,0,0,0.0,0.0,0.0,0.0,1.1657114586533093e-08,1.1657114586533093e-08
144,1.4400000000000043e-05,49507.75956892967,0,0,0.0,0.0,0.0,0.0,1.165709719649586e-08,1.165709719649586e-08
145,1.4500000000000044e-05,49679.931901454926,0,0,0.0,0.0,0.0,0.0,1.165709323176861e-08,1.165709323176861e-08
146,1.4600000000000045e-05,49785.88205552101,0,0,0.0,0.0,0.0,0.0,1.1657094641415405e-08,1.1657094641415405e-08
147,1.4700000000000046e-05,49851.502995967865,0,0,0.0,0.0,0.0,0.0,1.1657095917146627e-08,1.1657095917146627e-08
148,1.4800000000000046e-05,49937.00557208061,0,0,0.0,0.0,0.0,0.0,1.1657093842932025e-08,1.1657093842932025e-08
149,1.4900000000000047e-05,49982.93284082413,0,0,0.0,0.0,0.0,0.0,1.165709318068868e-08,1.165709318068868e-08
150,1.5000000000000048e-05,50027.194274902344,0,0,0.0,0.0,0.0,0.0,1.1657093003403305e-08,1.1657093003403305e-08
151,1.5100000000000049e-05,50156.74509310722,0,0,0.0,0.0,0.0,0.0,1.1657092383309262e-08,1.1657092383309262e-08
152,1.520000000000005e-05,50292.38341283798,0,0,0.0,0.0,0.0,0.0,1.1657090682366948e-08,1.1657090682366948e-08
153,1.530000000000005e-05,50439.38764691353,0,0,0.0,0.0,0.0,0.0,1.1657088341150164e-08,1.1657088341150164e-08
154,1.540000000000005e-05,50555.40331673622,0,0,0.0,0.0,0.0,0.0,1.1657086739720592e-08,1.1657086739720592e-08
155,1.5500000000000048e-05,50638.354582071304,0,0,0.0,0.0,0.0,0.0,1.1657086037061381e-08,1.1657086037061381e-08
156,1.5600000000000047e-05,50675.81143331528,0,0,0.0,0.0,0.0,0.0,1.1657085862850735e-08,1.1657085862850735e-08
157,1.5700000000000046e-05,50787.7413084507,0,0,0.0,0.0,0.0,0.0,1.1657086245454889e-08,1.1657086245454889e-08
158,1.5800000000000045e-05,50927.78990197182,0,0,0.0,0.0,0.0,0.0,1.1657084929753212e-08,1.1657084929753212e-08
159,1.5900000000000044e-05,51069.46380853653,0,0,0.0,0.0,0.0,0.0,1.165708233327348e-08,1.165708233327348e-08
160,1.6000000000000043e-05,51209.02262377739,0,0,0.0,0.0,0.0,0.0,1.1657081005298364e-08,1.1657081005298364e-08
161,1.6100000000000042e-05,51356.29964494705,0,0,0.0,0.0,0.0,0.0,1.1657081211015089e-08,1.1657081211015089e-08
162,1.620000000000004e-05,51465.347881793976,0,0,0.0,0.0,0.0,0.0,1.165708136195149e-08,1.165708136195149e-08
163,1.630000000000004e-05,51592.76651763916,0,0,0.0,0.0,0.0,0.0,1.1657082378959084e-08,1.1657082378959084e-08
164,1.640000000000004e-05,51730.92120432854,0,0,0.0,0.0,0.0,0.0,1.1657081943092875e-08,1.1657081943092875e-08
165,1.650000000000004e-05,51867.367089271545,0,0,0.0,0.0,0.0,0.0,1.1657082207348364e-08,1.1657082207348364e-08
166,1.6600000000000038e-05,56392.87653923035,0,0,0.0,0.0,0.0,0.0,1.165708263674763e-08,1.165708263674763e-08
167,1.6700000000000037e-05,63418.08077597618,0,0,0.0,0.0,0.0,0.0,1.165708369510906e-08,1.165708369510906e-08
168,1.6800000000000036e-05,75891.28690767288,0,0,0.0,0.0,0.0,0.0,1.1657084831435537e-08,1.1657084831435537e-08
169,1.6900000000000035e-05,76059.40700221062,0,0,0.0,0.0,0.0,0.0,1.1657084766386563e-08,1.1657084766386563e-08
170,1.7000000000000034e-05,76161.4139778614,0,0,0.0,0.0,0.0,0.0,1.1657086092521765e-08,1.1657086092521765e-08
171,1.7100000000000033e-05,76276.57559967041,0,0,0.0,0.0,0.0,0.0,1.1657084655815713e-08,1.1657084655815713e-08
172,1.7200000000000032e-05,76423.32942080498,0,0,0.0,0.0,0.0,0.0,1.165708442825593e-08,1.165708442825593e-08
173,1.730000000000003e-05,76615.69686317444,0,0,0.0,0.0,0.0,0.0,1.1657083021641094e-08,1.1657083021641094e-08
174,1.740000000000003e-05,76891.84952378273,0,0,0.0,0.0,0.0,0.0,1.16570820467122e-08,1.16570820467122e-08
175,1.750000000000003e-05,77121.18646407127,0,0,0.0,0.0,0.0,0.0,1.1657081119135567e-08,1.1657081119135567e-08
176,1.7600000000000028e-05,77343.45832967758,0,0,0.0,0.0,0.0,0.0,1.1657079284087214e-08,1.1657079284087214e-08
177,1.7700000000000027e-05,77543.83857154846,0,0,0.0,0.0,0.0,0.0,1.1657077697313774e-08,1.1657077697313774e-08
178,1.7800000000000026e-05,77741.89832830429,0,0,0.0,0.0,0.0,0.0,1.1657076128557464e-08,1.1657076128557464e-08
179,1.7900000000000025e-05,77962.20517635345,0,0,0.0,0.0,0.0,0.0,1.1657076371117326e-08,1.1657076371117326e-08
180,1.8000000000000024e-05,78078.71889972687,0,0,0.0,0.0,0.0,0.0,1.1657076371012429e-08,1.1657076371012429e-08
181,1.8100000000000023e-05,78146.46778726578,0,0,0.0,0.0,0.0,0.0,1.16570754038595e-08,1.16570754038595e-08
182,1.8200000000000022e-05,78285.8188533783,0,0,0.0,0.0,0.0,0.0,1.16570746731885e-08,1.16570746731885e-08
183,1.830000000000002e-05,78481.76245880127,0,0,0.0,0.0,0.0,0.0,1.1657074324314743e-08,1.1657074324314743e-08
184,1.840000000000002e-05,78723.88289666176,0,0,0.0,0.0,0.0,0.0,1.1657074106160248e-08,1.1657074106160248e-08
185,1.850000000000002e-05,78970.56107878685,0,0,0.0,0.0,0.0,0.0,1.165707478326304e-08,1.165707478326304e-08
186,1.860000000000002e-05,79222.31915950775,0,0,0.0,0.0,0.0,0.0,1.1657074017929023e-08,1.1657074017929023e-08
187,1.8700000000000017e-05,79409.31058597565,0,0,0.0,0.0,0.0,0.0,1.16570724121839e-08,1.16570724121839e-08
188,1.8800000000000017e-05,79629.74010872841,0,0,0.0,0.0,0.0,0.0,1.1657072702295747e-08,1.1657072702295747e-08
189,1.8900000000000016e-05,79789.75748038292,0,0,0.0,0.0,0.0,0.0,1.1657071154350791e-08,1.1657071154350791e-08
190,1.9000000000000015e-05,80016.29176831245,0,0,0.0,0.0,0.0,0.0,1.1657070157496552e-08,1.1657070157496552e-08
191,1.9100000000000014e-05,80325.43673300743,0,0,0.0,0.0,0.0,0.0,1.1657072051781876e-08,1.1657072051781876e-08
192,1.9200000000000013e-05,80540.03474330902,0,0,0.0,0.0,0.0,0.0,1.1657073177669353e-08,1.1657073177669353e-08
193,1.9300000000000012e-05,80678.9059612751,0,0,0.0,0.0,0.0,0.0,1.1657073247912784e-08,1.1657073247912784e-08
194,1.940000000000001e-05,80907.96009659767,0,0,0.0,0.0,0.0,0.0,1.165707283547391e-08,1.165707283547391e-08
195,1.950000000000001e-05,81129.22975993156,0,0,0.0,0.0,0.0,0.0,1.1657072827870946e-08,1.1657072827870946e-08
196,1.960000000000001e-05,81306.7622988224,0,0,0.0,0.0,0.0,0.0,1.1657072758080988e-08,1.1657072758080988e-08
197,1.9700000000000008e-05,81483.47560620308,0,0,0.0,0.0,0.0,0.0,1.1657074258058453e-08,1.1657074258058453e-08
198,1.9800000000000007e-05,81714.08601498604,0,0,0.0,0.0,0.0,0.0,1.1657076378998922e-08,1.1657076378998922e-08
199,1.9900000000000006e-05,81944.55852508545,0,0,0.0,0.0,0.0,0.0,1.1657076126427108e-08,1.1657076126427108e-08
200,2.0000000000000005e-05,82181.56089282036,0,0,0.0,0.0,0.0,0.0,1.1657076343323473e-08,1.1657076343323473e-08
